Genome_proportion,Contig_size
0,233175
0.01,157017
0.02,90448
0.03,71305
0.04,58069
0.05,45223
0.06,35609
0.07,30100
0.08,25044
0.09,21967
0.1,18991
0.11,16836
0.12,15021
0.13,13524
0.14,12314
0.15,11176
0.16,10274
0.17,9413
0.18,8748
0.19,8144
0.2,7642
0.21,7206
0.22,6796
0.23,6408
0.24,6062
0.25,5738
0.26,5471
0.27,5230
0.28,4998
0.29,4774
0.3,4572
0.31,4381
0.32,4223
0.33,4067
0.34,3915
0.35,3771
0.36,3640
0.37,3522
0.38,3405
0.39,3300
0.4,3198
0.41,3107
0.42,3022
0.43,2938
0.44,2856
0.45,2782
0.46,2708
0.47,2637
0.48,2572
0.49,2507
0.5,2447
0.51,2389
0.52,2333
0.53,2280
0.54,2227
0.55,2178
0.56,2131
0.57,2084
0.58,2041
0.59,1999
0.6,1958
0.61,1919
0.62,1881
0.63,1844
0.64,1808
0.65,1773
0.66,1739
0.67,1707
0.68,1676
0.69,1645
0.7,1615
0.71,1586
0.72,1558
0.73,1532
0.74,1505
0.75,1478
0.76,1453
0.77,1428
0.78,1404
0.79,1380
0.8,1357
0.81,1335
0.82,1313
0.83,1291
0.84,1271
0.85,1250
0.86,1230
0.87,1211
0.88,1192
0.89,1174
0.9,1156
0.91,1138
0.92,1121
0.93,1104
0.94,1088
0.95,1072
0.96,1057
0.97,1042
0.98,1027
0.99,1013
1,1000
